Date_Key,Day,Month,Year,Day_of_Week,Week_in_Year,Weekend_YN,Holiday_YN,Season,Date_Full_Format
27102020,27,10,2020,Tuesday ,44,N,N,Fall,2020-10-27
28102020,28,10,2020,Wednesday,44,N,N,Fall,2020-10-28
29102020,29,10,2020,Thursday,44,N,N,Fall,2020-10-29
30102020,30,10,2020,Friday,44,N,N,Fall,2020-10-30
31102020,31,10,2020,Saturday,44,Y,Y,Fall,2020-10-31
1112020,1,11,2020,Sunday,44,Y,N,Fall,2020-11-01
2112020,2,11,2020,Monday,45,N,N,Fall,2020-11-02
3112020,3,11,2020,Tuesday,45,N,N,Fall,2020-11-03
4112020,4,11,2020,Wednesday,45,N,N,Fall,2020-11-04
5112020,5,11,2020,Thursday,45,N,N,Fall,2020-11-05
6112020,6,11,2020,Friday,45,N,N,Fall,2020-11-06
7112020,7,11,2020,Saturday,45,Y,N,Fall,2020-11-07
8112020,8,11,2020,Sunday,45,Y,N,Fall,2020-11-08
9112020,9,11,2020,Monday,46,N,N,Fall,2020-11-09
10112020,10,11,2020,Tuesday,46,N,N,Fall,2020-11-10
11112020,11,11,2020,Wednesday,46,N,Y,Fall,2020-11-11
12112020,12,11,2020,Thursday,46,N,N,Fall,2020-11-12
13112020,13,11,2020,Friday,46,N,N,Fall,2020-11-13
14112020,14,11,2020,Saturday,46,Y,N,Fall,2020-11-14
15112020,15,11,2020,Sunday,46,Y,N,Fall,2020-11-15
16112020,16,11,2020,Monday,47,N,N,Fall,2020-11-16
17112020,17,11,2020,Tuesday,47,N,N,Fall,2020-11-17
18112020,18,11,2020,Wednesday,47,N,N,Fall,2020-11-18
19112020,19,11,2020,Thursday,47,N,N,Fall,2020-11-19
20112020,20,11,2020,Friday,47,N,N,Fall,2020-11-20
21112020,21,11,2020,Saturday,47,Y,N,Fall,2020-11-21
22112020,22,11,2020,Sunday,47,Y,N,Fall,2020-11-22
23112020,23,11,2020,Monday,48,N,N,Fall,2020-11-23
24112020,24,11,2020,Tuesday,48,N,N,Fall,2020-11-24
25112020,25,11,2020,Wednesday,48,N,N,Fall,2020-11-25
26112020,26,11,2020,Thursday,48,N,N,Fall,2020-11-26
27112020,27,11,2020,Friday,48,N,N,Fall,2020-11-27
28112020,28,11,2020,Saturday,48,Y,N,Fall,2020-11-28
29112020,29,11,2020,Sunday,48,Y,N,Fall,2020-11-29
30112020,30,11,2020,Monday,49,N,N,Fall,2020-11-30
1122020,1,12,2020,Tuesday,49,N,N,Fall,2020-12-01
2122020,2,12,2020,Wednesday,49,N,N,Fall,2020-12-02
3122020,3,12,2020,Thursday,49,N,N,Fall,2020-12-03
4122020,4,12,2020,Friday,49,N,N,Fall,2020-12-04
5122020,5,12,2020,Saturday,49,Y,N,Fall,2020-12-05
6122020,6,12,2020,Sunday,49,Y,N,Fall,2020-12-06
7122020,7,12,2020,Monday,50,N,N,Fall,2020-12-07
8122020,8,12,2020,Tuesday,50,N,N,Fall,2020-12-08
9122020,9,12,2020,Wednesday,50,N,N,Fall,2020-12-09
10122020,10,12,2020,Thursday,50,N,N,Fall,2020-12-10
11122020,11,12,2020,Friday,50,N,N,Fall,2020-12-11
12122020,12,12,2020,Saturday,50,Y,N,Fall,2020-12-12
13122020,13,12,2020,Sunday,50,Y,N,Fall,2020-12-13
14122020,14,12,2020,Monday,51,N,N,Fall,2020-12-14
15122020,15,12,2020,Tuesday,51,N,N,Fall,2020-12-15
16122020,16,12,2020,Wednesday,51,N,N,Fall,2020-12-16
17122020,17,12,2020,Thursday,51,N,N,Fall,2020-12-17
18122020,18,12,2020,Friday,51,N,N,Fall,2020-12-18
19122020,19,12,2020,Saturday,51,Y,N,Fall,2020-12-19
20122020,20,12,2020,Sunday,51,Y,N,Fall,2020-12-20
21122020,21,12,2020,Monday,52,N,N,Winter,2020-12-21
22122020,22,12,2020,Tuesday,52,N,N,Winter,2020-12-22
23122020,23,12,2020,Wednesday,52,N,N,Winter,2020-12-23
24122020,24,12,2020,Thursday,52,N,N,Winter,2020-12-24
25122020,25,12,2020,Friday,52,N,Y,Winter,2020-12-25
26122020,26,12,2020,Saturday,52,Y,N,Winter,2020-12-26
27122020,27,12,2020,Sunday,52,Y,N,Winter,2020-12-27
28122020,28,12,2020,Monday,53,N,Y,Winter,2020-12-28
29122020,29,12,2020,Tuesday,53,N,N,Winter,2020-12-29
30122020,30,12,2020,Wednesday,53,N,N,Winter,2020-12-30
31122020,31,12,2020,Thursday,53,N,Y,Winter,2020-12-31
1012021,1,1,2021,Friday,53,N,Y,Winter,2021-01-01
2012021,2,1,2021,Saturday,53,Y,N,Winter,2021-01-02
3012021,3,1,2021,Sunday,53,Y,N,Winter,2021-01-03
4012021,4,1,2021,Monday,1,N,N,Winter,2021-01-04
5012021,5,1,2021,Tuesday,1,N,N,Winter,2021-01-05
6012021,6,1,2021,Wednesday,1,N,N,Winter,2021-01-06
7012021,7,1,2021,Thursday,1,N,N,Winter,2021-01-07
8012021,8,1,2021,Friday,1,N,N,Winter,2021-01-08
9012021,9,1,2021,Saturday,1,Y,N,Winter,2021-01-09
10012021,10,1,2021,Sunday,1,Y,N,Winter,2021-01-10
11012021,11,1,2021,Monday,2,N,N,Winter,2021-01-11
12012021,12,1,2021,Tuesday,2,N,N,Winter,2021-01-12
13012021,13,1,2021,Wednesday,2,N,N,Winter,2021-01-13
14012021,14,1,2021,Thursday,2,N,N,Winter,2021-01-14
15012021,15,1,2021,Friday,2,N,N,Winter,2021-01-15
16012021,16,1,2021,Saturday,2,Y,N,Winter,2021-01-16
17012021,17,1,2021,Sunday,2,Y,N,Winter,2021-01-17
18012021,18,1,2021,Monday,3,N,N,Winter,2021-01-18
19012021,19,1,2021,Tuesday,3,N,N,Winter,2021-01-19
20012021,20,1,2021,Wednesday,3,N,N,Winter,2021-01-20
21012021,21,1,2021,Thursday,3,N,N,Winter,2021-01-21
22012021,22,1,2021,Friday,3,N,N,Winter,2021-01-22
23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
7022021,7,2,2021,Sunday,5,Y,N,Winter,2021-02-07
8022021,8,2,2021,Monday,6,N,N,Winter,2021-02-08
9022021,9,2,2021,Tuesday,6,N,N,Winter,2021-02-09
10022021,10,2,2021,Wednesday,6,N,N,Winter,2021-02-10
11022021,11,2,2021,Thursday,6,N,N,Winter,2021-02-11
12022021,12,2,2021,Friday,6,N,N,Winter,2021-02-12
13022021,13,2,2021,Saturday,6,Y,N,Winter,2021-02-13
14022021,14,2,2021,Sunday,6,Y,Y,Winter,2021-02-14
15022021,15,2,2021,Monday,7,N,Y,Winter,2021-02-15
16022021,16,2,2021,Tuesday,7,N,N,Winter,2021-02-16
17022021,17,2,2021,Wednesday,7,N,N,Winter,2021-02-17
18022021,18,2,2021,Thursday,7,N,N,Winter,2021-02-18
19022021,19,2,2021,Friday,7,N,N,Winter,2021-02-19
20022021,20,2,2021,Saturday,7,Y,N,Winter,2021-02-20
21022021,21,2,2021,Sunday,7,Y,N,Winter,2021-02-21
22022021,22,2,2021,Monday,8,N,N,Winter,2021-02-22
23022021,23,2,2021,Tuesday,8,N,N,Winter,2021-02-23
24022021,24,2,2021,Wednesday,8,N,N,Winter,2021-02-24
25022021,25,2,2021,Thursday,8,N,N,Winter,2021-02-25
26022021,26,2,2021,Friday,8,N,N,Winter,2021-02-26
27022021,27,2,2021,Saturday,8,Y,N,Winter,2021-02-27
