surrogate_key,Station Name,Date/Time,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm)
0,OTTAWA INTL A,2020-10-27,0.2,-2.3,2.7,0
1,OTTAWA INTL A,2020-10-28,4.2,-1.1,9.4,0.4
2,OTTAWA INTL A,2020-10-29,2.4,-1.3,6,0
3,OTTAWA INTL A,2020-10-30,-0.5,-4.9,3.9,0
4,OTTAWA INTL A,2020-10-31,-1,-8.4,6.5,0
5,OTTAWA INTL A,2020-11-01,3.6,-0.7,7.8,2.2
6,OTTAWA INTL A,2020-11-02,-0.3,-2.5,2,2.4
7,OTTAWA INTL A,2020-11-03,-1.9,-4.1,0.3,0
8,OTTAWA INTL A,2020-11-04,5.4,-3,13.8,0
9,OTTAWA INTL A,2020-11-05,9.1,-1.2,19.3,0
10,OTTAWA INTL A,2020-11-06,13,7.6,18.4,0
11,OTTAWA INTL A,2020-11-07,14.7,8.6,20.7,0
12,OTTAWA INTL A,2020-11-08,14,6.4,21.5,0
13,OTTAWA INTL A,2020-11-09,14.4,6.2,22.5,0
14,OTTAWA INTL A,2020-11-10,16.2,9,23.4,0
15,OTTAWA INTL A,2020-11-11,11,2.3,19.6,0.6
16,OTTAWA INTL A,2020-11-12,2.2,-3.3,7.7,0
17,OTTAWA INTL A,2020-11-13,0.8,-4.4,6,0
18,OTTAWA INTL A,2020-11-14,-0.4,-5.5,4.8,0
19,OTTAWA INTL A,2020-11-15,2,-4.9,8.8,2.7
20,OTTAWA INTL A,2020-11-16,4.4,1,7.8,0
21,OTTAWA INTL A,2020-11-17,-3.1,-8.3,2.2,0
22,OTTAWA INTL A,2020-11-18,-6.2,-9.5,-2.9,0
23,OTTAWA INTL A,2020-11-19,1,-6.2,8.2,0
24,OTTAWA INTL A,2020-11-20,10.7,6.2,15.1,0
25,OTTAWA INTL A,2020-11-21,0.5,-6.2,7.2,0
26,OTTAWA INTL A,2020-11-22,-3.4,-6.9,0.1,12.2
27,OTTAWA INTL A,2020-11-23,-0.6,-1.7,0.6,5.2
28,OTTAWA INTL A,2020-11-24,-6.3,-11.6,-1,0
29,OTTAWA INTL A,2020-11-25,-3.4,-6.3,-0.5,7.5
30,OTTAWA INTL A,2020-11-26,0.8,-0.3,1.8,1.8
31,OTTAWA INTL A,2020-11-27,3,1.6,4.3,0
32,OTTAWA INTL A,2020-11-28,2.7,0.8,4.6,0
33,OTTAWA INTL A,2020-11-29,4.1,0.5,7.6,0
34,OTTAWA INTL A,2020-11-30,2.1,-0.3,4.4,12.3
35,OTTAWA INTL A,2020-12-01,3.1,0.8,5.3,6.1
36,OTTAWA INTL A,2020-12-02,-2,-5.2,1.3,2
37,OTTAWA INTL A,2020-12-03,-0.9,-5.2,3.4,0
38,OTTAWA INTL A,2020-12-04,1.5,0,3,4.3
39,OTTAWA INTL A,2020-12-05,-1.8,-4.6,1.1,0
40,OTTAWA INTL A,2020-12-06,-3.6,-5.6,-1.6,0
41,OTTAWA INTL A,2020-12-07,-5.1,-7.4,-2.8,0
42,OTTAWA INTL A,2020-12-08,-7.1,-9.2,-5,0
43,OTTAWA INTL A,2020-12-09,-2.5,-6.2,1.3,2.1
44,OTTAWA INTL A,2020-12-10,0.1,-1.2,1.4,0
45,OTTAWA INTL A,2020-12-11,1.6,-1,4.2,0
46,OTTAWA INTL A,2020-12-12,1,0,2,3
47,OTTAWA INTL A,2020-12-13,1.4,-4,6.7,0
48,OTTAWA INTL A,2020-12-14,-3.7,-5.7,-1.6,0.4
49,OTTAWA INTL A,2020-12-15,-11.4,-16.9,-5.8,0
50,OTTAWA INTL A,2020-12-16,-15.9,-18.4,-13.3,0
51,OTTAWA INTL A,2020-12-17,-9.9,-14,-5.8,0
52,OTTAWA INTL A,2020-12-18,-10.5,-15.7,-5.3,0
53,OTTAWA INTL A,2020-12-19,-8.5,-13.3,-3.6,0
54,OTTAWA INTL A,2020-12-20,-1.4,-3.8,1,1.8
55,OTTAWA INTL A,2020-12-21,1.8,0.1,3.4,0.8
56,OTTAWA INTL A,2020-12-22,-3.4,-8.6,1.8,0.2
57,OTTAWA INTL A,2020-12-23,-7,-11,-3,0.4
58,OTTAWA INTL A,2020-12-24,2.8,-3.2,8.8,25.7
59,OTTAWA INTL A,2020-12-25,1.3,-3.4,5.9,25.4
60,OTTAWA INTL A,2020-12-26,-6.1,-9.6,-2.6,0.4
61,OTTAWA INTL A,2020-12-27,-6.9,-10.1,-3.6,0
62,OTTAWA CDA RCS,2020-12-28,-1.2,-6.8,4.3,1.9
63,OTTAWA INTL A,2020-12-29,-9.3,-11.8,-6.8,0
64,OTTAWA INTL A,2020-12-30,-2.9,-8.9,3.2,4.5
65,OTTAWA INTL A,2020-12-31,-1.7,-5.6,2.3,0
66,OTTAWA INTL A,2021-01-01,-3,-5.7,-0.3,1.6
67,OTTAWA INTL A,2021-01-02,-3.7,-6.8,-0.6,3.5
68,OTTAWA INTL A,2021-01-03,-4.6,-6.8,-2.3,0
69,OTTAWA INTL A,2021-01-04,-2.4,-3.9,-0.9,0.4
70,OTTAWA INTL A,2021-01-05,-2.6,-3.4,-1.8,0.4
71,OTTAWA INTL A,2021-01-06,-3.7,-5,-2.4,0
72,OTTAWA INTL A,2021-01-07,-5.1,-7.5,-2.7,0
73,OTTAWA INTL A,2021-01-08,-9.4,-12.6,-6.2,0
74,OTTAWA INTL A,2021-01-09,-5.9,-10.2,-1.6,0
75,OTTAWA INTL A,2021-01-10,-8.7,-11.2,-6.2,0
76,OTTAWA INTL A,2021-01-11,-2.5,-6,1.1,0.4
77,OTTAWA INTL A,2021-01-12,-0.6,-2,0.8,0
78,OTTAWA INTL A,2021-01-13,-1.1,-2.7,0.6,0.3
79,OTTAWA INTL A,2021-01-14,-0.2,-0.7,0.4,0
80,OTTAWA INTL A,2021-01-15,-0.7,-2.1,0.7,0.2
81,OTTAWA INTL A,2021-01-16,-0.3,-0.7,0.2,14.8
82,OTTAWA INTL A,2021-01-17,-3.6,-7.3,0.2,0.2
83,OTTAWA INTL A,2021-01-18,-11.2,-14.9,-7.5,0
84,OTTAWA INTL A,2021-01-19,-11.9,-16.4,-7.3,0.8
85,OTTAWA INTL A,2021-01-20,-13.5,-17.9,-9.1,0
86,OTTAWA INTL A,2021-01-21,-8.6,-13.9,-3.2,3
87,OTTAWA INTL A,2021-01-22,-7.5,-12.8,-2.1,0
88,OTTAWA INTL A,2021-01-23,-15.8,-18.1,-13.5,0
89,OTTAWA INTL A,2021-01-24,-14.7,-18.8,-10.5,0
90,OTTAWA INTL A,2021-01-25,-6.6,-18.9,-12.8,0.2
91,OTTAWA INTL A,2021-01-26,-6.1,-7.8,-4.3,4.4
92,OTTAWA INTL A,2021-01-27,-6.1,-8.6,-3.6,0.2
93,OTTAWA INTL A,2021-01-28,-13.2,-18.4,-7.9,0
94,OTTAWA INTL A,2021-01-29,-15.7,-19.8,-11.5,0
95,OTTAWA INTL A,2021-01-30,-15.4,-19.3,-11.5,0
96,OTTAWA INTL A,2021-01-31,-17.4,-22,-12.8,0
97,OTTAWA INTL A,2021-02-01,-13.9,-22.2,-5.5,0
98,OTTAWA INTL A,2021-02-02,-4.8,-10.2,0.6,1.8
99,OTTAWA INTL A,2021-02-03,-1.6,-4.3,1.2,2
100,OTTAWA INTL A,2021-02-04,-4.6,-9.8,0.7,0
101,OTTAWA INTL A,2021-02-05,-4,-9.7,1.8,1.8
102,OTTAWA INTL A,2021-02-06,-8.5,-12.2,-4.7,0
103,OTTAWA INTL A,2021-02-07,-9.4,-13.7,-5.1,2
104,OTTAWA CDA RCS,2021-02-08,-13.5,-20.3,-6.8,0.2
105,OTTAWA INTL A,2021-02-09,-9.1,-12.4,-5.7,0.6
106,OTTAWA INTL A,2021-02-10,-12.1,-17,-7.2,0
107,OTTAWA INTL A,2021-02-11,-13.5,-18.1,-8.9,0
108,OTTAWA INTL A,2021-02-12,-19,-23.4,-14.5,0
109,OTTAWA INTL A,2021-02-13,-17.7,-22.8,-12.5,0.2
110,OTTAWA CDA RCS,2021-02-14,-10.4,-14.3,-6.6,1.1
111,OTTAWA INTL A,2021-02-15,-8.5,-11.7,-5.2,2.6
112,OTTAWA INTL A,2021-02-16,-11.4,-15.1,-7.7,15.8
113,OTTAWA INTL A,2021-02-17,-14.1,-21.4,-6.8,0
114,OTTAWA INTL A,2021-02-18,-11.4,-18.1,-4.7,0
115,OTTAWA INTL A,2021-02-19,-9.2,-11.7,-6.6,2.2
116,OTTAWA INTL A,2021-02-20,-9.2,-14.3,-4,0
117,OTTAWA INTL A,2021-02-21,-8.5,-16,-0.9,0
118,OTTAWA INTL A,2021-02-22,-3.7,-8.4,1,4
119,OTTAWA INTL A,2021-02-23,1,-0.3,2.2,0.6
120,OTTAWA INTL A,2021-02-24,-0.7,-3.2,1.8,10.4
121,OTTAWA INTL A,2021-02-25,-7.6,-12.4,-2.8,0
122,OTTAWA INTL A,2021-02-26,-7.4,-15.6,0.8,0
123,TORONTO INTL A,2020-10-27,4.4,1.5,7.3,5.2
124,TORONTO INTL A,2020-10-28,7.1,2.4,11.8,0
125,TORONTO INTL A,2020-10-29,6.5,2.1,10.8,1.6
126,TORONTO INTL A,2020-10-30,-1,-4.3,2.3,0
127,TORONTO INTL A,2020-10-31,0.7,-5.4,6.7,0
128,TORONTO INTL A,2020-11-01,5.6,0,11.2,3.6
129,TORONTO INTL A,2020-11-02,2.6,-2.1,7.2,0
130,TORONTO INTL A,2020-11-03,5.5,3.8,7.1,0
131,TORONTO INTL A,2020-11-04,10.7,1.8,19.6,0
132,TORONTO INTL A,2020-11-05,15.3,11.4,19.2,0
133,TORONTO INTL A,2020-11-06,15,9.1,20.8,0
134,TORONTO INTL A,2020-11-07,15.2,9.4,21,0
135,TORONTO INTL A,2020-11-08,13.2,6.2,20.1,0
136,TORONTO INTL A,2020-11-09,13.2,6.9,19.5,0
137,TORONTO INTL A,2020-11-10,16.1,7.8,24.3,0
138,TORONTO INTL A,2020-11-11,11.9,5.5,18.2,0.6
139,TORONTO INTL A,2020-11-12,6.8,3.7,9.8,0
140,TORONTO INTL A,2020-11-13,6.2,3.3,9,0
141,TORONTO INTL A,2020-11-14,3.9,0.1,7.6,0
142,TORONTO INTL A,2020-11-15,8.2,3.1,13.2,10.4
143,TORONTO INTL A,2020-11-16,2.6,1.1,4.1,0.2
144,TORONTO INTL A,2020-11-17,-1.2,-5.4,3,0.6
145,TORONTO INTL A,2020-11-18,-2.4,-6.2,1.5,0
146,TORONTO INTL A,2020-11-19,8.3,1.5,15,0
147,TORONTO INTL A,2020-11-20,12,6.1,17.8,0
148,TORONTO INTL A,2020-11-21,3.2,0.3,6,0
149,TORONTO INTL A,2020-11-22,0.5,-1,1.9,19.4
150,TORONTO INTL A,2020-11-23,-0.4,-4.2,3.5,0
151,TORONTO INTL A,2020-11-24,0.2,-1.7,2.1,1
152,TORONTO INTL A,2020-11-25,4.8,1.3,8.3,6.8
153,TORONTO INTL A,2020-11-26,9.3,6.6,11.9,1.2
154,TORONTO INTL A,2020-11-27,6.4,4.9,7.8,0
155,TORONTO INTL A,2020-11-28,4.4,1.8,7,0
156,TORONTO INTL A,2020-11-29,5.8,0.7,10.8,0
157,TORONTO INTL A,2020-11-30,2.3,-0.9,5.5,22
158,TORONTO INTL A,2020-12-01,-1.2,-2.2,-0.1,8.4
159,TORONTO INTL A,2020-12-02,1.2,-1.4,3.8,1
160,TORONTO INTL A,2020-12-03,1.3,-1.5,4.1,0
161,TORONTO INTL A,2020-12-04,1.6,-0.2,3.4,3.6
162,TORONTO INTL A,2020-12-05,-1.4,-4.5,1.7,0
163,TORONTO INTL A,2020-12-06,-2.8,-6.3,0.7,0
164,TORONTO INTL A,2020-12-07,-2.7,-6.3,1,0
165,TORONTO INTL A,2020-12-08,-2.4,-6.7,1.9,0
166,TORONTO INTL A,2020-12-09,2.3,0.1,4.4,4
167,TORONTO INTL A,2020-12-10,3.4,0.9,5.9,0
168,TORONTO INTL A,2020-12-11,5.1,0.8,9.4,0
169,TORONTO INTL A,2020-12-12,6.3,3.4,9.1,8
170,TORONTO INTL A,2020-12-13,2.3,-0.6,5.1,0
171,TORONTO INTL A,2020-12-14,-0.4,-2.5,1.7,0
172,TORONTO INTL A,2020-12-15,-5.1,-7.7,-2.4,0.2
173,TORONTO INTL A,2020-12-16,-7.2,-8.7,-5.6,1.4
174,TORONTO INTL A,2020-12-17,-5.4,-8,-2.7,0.6
175,TORONTO INTL A,2020-12-18,-5.5,-9.7,-1.3,0
176,TORONTO INTL A,2020-12-19,0.3,-2,2.5,2.2
177,TORONTO INTL A,2020-12-20,2.3,-0.4,5,1.2
178,TORONTO INTL A,2020-12-21,1.5,-1.3,4.3,0.2
179,TORONTO INTL A,2020-12-22,1,-0.8,2.7,0
180,TORONTO INTL A,2020-12-23,3.4,0.5,6.3,1.8
181,TORONTO INTL A,2020-12-24,3.4,-2.8,9.6,12.4
182,TORONTO INTL A,2020-12-25,-2.9,-5.4,-0.4,8
183,TORONTO INTL A,2020-12-26,-4,-5.5,-2.5,1.6
184,TORONTO INTL A,2020-12-27,-0.6,-3.7,2.5,1
185,TORONTO INTL A,2020-12-28,0.4,-3.6,4.4,5.2
186,TORONTO INTL A,2020-12-29,-3.4,-5.6,-1.2,0
187,TORONTO INTL A,2020-12-30,0.7,-3.7,5.1,3.2
188,TORONTO INTL A,2020-12-31,-0.8,-3,1.5,0
189,TORONTO INTL A,2021-01-01,-1.3,-4.1,1.6,8
190,TORONTO INTL A,2021-01-02,-0.7,-2.5,1.2,6.8
191,TORONTO INTL A,2021-01-03,0.2,-0.8,1.1,1.6
192,TORONTO INTL A,2021-01-04,0.2,-0.8,1.1,0
193,TORONTO INTL A,2021-01-05,0.5,-0.1,1,0.2
194,TORONTO INTL A,2021-01-06,0.4,-1.2,2,0.2
195,TORONTO INTL A,2021-01-07,-3.9,-7.1,-0.6,0
196,TORONTO INTL A,2021-01-08,-6.4,-9.3,-3.5,0
197,TORONTO INTL A,2021-01-09,-0.5,-4.3,3.3,0
198,TORONTO INTL A,2021-01-10,-1.9,-5.6,1.9,0
199,TORONTO INTL A,2021-01-11,-3,-6.1,0.2,0
200,TORONTO INTL A,2021-01-12,-1.7,-2.1,-1.2,0
201,TORONTO INTL A,2021-01-13,0.9,-1.4,3.1,0
202,TORONTO INTL A,2021-01-14,1.9,-0.8,4.6,0
203,TORONTO INTL A,2021-01-15,3.4,1.2,5.6,5
204,TORONTO INTL A,2021-01-16,1.1,-2.6,4.7,0
205,TORONTO INTL A,2021-01-17,0.8,-2.7,4.2,0.6
206,TORONTO INTL A,2021-01-18,-1.9,-4.6,0.9,0
207,TORONTO CITY,2021-01-19,0,-2.2,2.2,0
208,TORONTO INTL A,2021-01-20,-5,-7.7,-2.2,0
209,TORONTO INTL A,2021-01-21,0.7,-1.8,3.1,0.2
210,TORONTO INTL A,2021-01-22,-3.4,-7.8,1,0.4
211,TORONTO INTL A,2021-01-23,-8.7,-12.6,-4.8,0
212,TORONTO INTL A,2021-01-24,-5,-7.2,-2.7,0
213,TORONTO INTL A,2021-01-25,-0.9,-3.7,1.9,0
214,TORONTO INTL A,2021-01-26,-2.6,-4.6,-0.5,7.4
215,TORONTO INTL A,2021-01-27,-6.8,-10.2,-3.3,0
216,TORONTO INTL A,2021-01-28,-10.8,-13.8,-7.8,0
217,TORONTO INTL A,2021-01-29,-10.9,-14.6,-7.1,0.2
218,TORONTO INTL A,2021-01-30,-8,-13.8,-2.2,0
219,TORONTO INTL A,2021-01-31,-7.9,-10.6,-5.2,0
220,TORONTO INTL A,2021-02-01,-7.5,-11.3,-3.7,0
221,TORONTO INTL A,2021-02-02,-5.3,-9.6,-0.9,0
222,TORONTO INTL A,2021-02-03,-2.9,-6.3,0.6,0
223,TORONTO INTL A,2021-02-04,-1.5,-7.2,4.3,1.4
224,TORONTO INTL A,2021-02-05,-3.2,-8,1.7,5.2
225,TORONTO INTL A,2021-02-06,-7.7,-9.4,-6,0
226,TORONTO INTL A,2021-02-07,-9.8,-13.3,-6.2,0.6
227,TORONTO INTL A,2021-02-08,-10,-13.4,-6.5,0.2
228,TORONTO INTL A,2021-02-09,-7.1,-11.4,-2.7,1
229,TORONTO INTL A,2021-02-10,-9.3,-13.2,-5.3,0
230,TORONTO INTL A,2021-02-11,-8,-11.2,-4.7,0
231,TORONTO INTL A,2021-02-12,-11.3,-14.2,-8.3,1.8
232,TORONTO INTL A,2021-02-13,-11.5,-13.9,-9.1,2.2
233,TORONTO INTL A,2021-02-14,-9.4,-14.8,-4,0.4
234,TORONTO INTL A,2021-02-15,-7,-9.7,-4.2,3.2
235,TORONTO INTL A,2021-02-16,-11.2,-15.3,-7,8.8
236,TORONTO CITY,2021-02-17,-7.6,-12.7,-2.5,0
237,TORONTO CITY,2021-02-18,-4.4,-6.2,-2.6,3.7
238,TORONTO INTL A,2021-02-19,-4.9,-7.2,-2.5,7.8
239,TORONTO INTL A,2021-02-20,-6.6,-11.4,-1.8,0.4
240,TORONTO INTL A,2021-02-21,-7,-12.4,-1.5,0
241,TORONTO INTL A,2021-02-22,0.6,-1.7,2.8,4.8
242,TORONTO INTL A,2021-02-23,1.8,-0.7,4.3,0.2
243,TORONTO INTL A,2021-02-24,3.9,-0.6,8.4,0
244,TORONTO INTL A,2021-02-25,-1.4,-3.7,0.9,0
245,TORONTO INTL A,2021-02-26,-1.6,-6.9,3.8,0
